id,name,address,lat,lon,station_deux_roues,nbre_pdc,puissance_nominale
199, 900114,Avenue Foch Verneuil sur Avre,48.74003,0.929616,false,2,22.0
200, 900115,Office du tourisme Verneuil sur Avre,48.738663,0.929944,false,2,22.0
201, 900116,  Parking Mairie Tillières/Avre,48.758803,1.057957,false,2,22.0
202, 900117,Place Jacques Ibert Les Andelys,49.245858,1.41371,false,2,22.0
203, 900118,Les Andelys Piscine,49.23773,1.401083,false,2,22.0
204, 900119, Rue Voltaire Evreux,49.009109,1.157537,false,2,22.0
205, 900120, Place du monument aux Morts La Barre en Ouche,48.946159,0.66299,false,2,22.0
206, 900122,Parking Aquaval Gaillon,49.163115,1.34989,false,2,22.0
207, 900123,Place Bertrand du Pouget Evreux,49.017093,1.123976,false,2,22.0
208, 900125,Gare SNCF Bueil,48.9256673,1.4435619,false,2,22.0
209, 900126,Maison médicale Montreuil l'Argillé,48.938426,0.480734,false,2,22.0
210, 900127,Future station service- face CC Broglie,49.008319,0.531146,false,2,22.0
211, 900128,centre Ste Colombe la Commanderie,49.103352,0.934779,false,2,22.0
212, 900129,Office du tourisme Le Neubourg,49.150593,0.91013,false,2,22.0
213, 900130,Parking Franprix Nonancourt,48.770538,1.199589,false,2,22.0
214, 900131,College Jean Jaures Evreux,49.024055,1.160346,false,2,22.0
215, 972 - RIVIERE PILOTE MARCHE,Marché de rivière Pilote - ,14.486405978847023,-60.902208073487955,false,2,21
216, 972 - SAINT ESPRIT,Rue Schoelcher 97270 Saint-Esprit,14.560713873777255,-60.93685837866524,false,2,22
217, 972 - SAINT JOSEPH,Rue Schoëlcher 97212 Saint-Joseph,14.670001347489613,-61.0396036414057,false,2,22
218, 972 -CASINO BATELIERE PLAZZA,QUARTIER BATELIERE RUE DES ALIZES,14.607158013009274,-61.09407341836829,false,4,22
219, 99 IMPASSE DES MOULINS Hôtel Suite-Home 45770,99 IMPASSE DES MOULINS Hôtel Suite-Home 45770 SARAN,47.9416005,1.8944244,0,6,22
220, 99 IMPASSE DES MOULINS Hôtel Suite-Home 45770,99 IMPASSE DES MOULINS Hôtel Suite-Home 45770 SARAN,47.9416,1.89442,0,6,22
221, ABEILHAN - Parking Boulevard Emile Zola,ABEILHAN - Parking Boulevard Emile Zola,43.44885,3.2961194,FALSE,2,22
222, ABEILHAN - Parking Boulevard Emile Zola,Parking Boulevard Emile Zola,43.448848724365234,3.296119451522827,false,2,22
223, ABM MONTAUBAN Avenue de l'Europe,1000 Avenue De L'europe 82000 Montauban,43.99147145,1.33287519,false,3,60
224, ABZAC - RUE DU CHEMINOT,RUE DU CHEMINOT,45.015847,-0.128961,false,2,22000
225, ACCIF TOULOUSE,3 PLACE EDOUARD BOUILLIERE,43.56689,1.394606,false,2,22
226, ACHERES - Place De La Jamais Contente,Place De La Jamais Contente,48.960304260253906,2.0695149898529053,false,2,22
227, ACHERES - Rue Jean Moulin,ACHERES - Rue Jean Moulin,48.968903,2.076411,FALSE,2,22
228, ACHERES - Rue Jean Moulin,Rue Jean Moulin,48.968902587890625,2.076411008834839,false,2,22
229, ACHERES - Rue St Germain,ACHERES - Rue St Germain,48.9556611,2.0721833,FALSE,2,22
230, ACHERES - Rue St Germain,Rue St Germain,48.95566177368164,2.07218337059021,false,2,3.7
231, ACHICOURT - Rue du 19 mars,ACHICOURT - Rue du 19 mars,50.274288,2.769392,FALSE,2,22
232, ACHICOURT - Rue du 19 mars,rue du 19 mars,50.274288177490234,2.7693920135498047,false,2,3.7
233, ACQUEVILLE - carrefour des Pelles,1 route des Pelles ACQUEVILLE 50440 LA HAGUE,49.6043821,-1.7362482,false,2,22
234, AD Delhaize Chaudfontaine,Rue Général Jacques 99 4051 Chaudfontaine,50.59191474,5.63124988,false,3,50
235, AD Delhaize Hannut,Rue Albert 1° 72 4280 Hannut,50.67035052,5.08290178,false,3,11
236, AD Delhaize Hognoul,Rue des Moulins 17 4342 Awans,50.68334301,5.46528555,false,3,50
237, ADAM CHAUFFAGE,1 rue Tulla 678,48.68,7.84,false,1,32
238, ADH route de l'Aviation,5 route de l'Aviation 54600 Villers-lès-Nancy,48.65873718,6.12840509,false,2,22
239, AEROVILLE - AFRICA LODGE,CENTRE COMMERCIAL DAÉROVILLE,48.9908,2.523685,false,2,22000
240, AG Garage Willer-Sur-Thur,21 rue de la Grande Armée Willer-sur-Thur 68760 Willer-sur-Thur,47.84359733,7.07067616,false,1,22
241, AGAPHONE,43Avenue de l'Hippodrome 14390 Cabourg,49.2805603,-0.115732,false,2,11.04
242, AGDE  - Rue du commandant Vilarem,AGDE  - Rue du commandant Vilarem,43.313663,3.4785489,FALSE,2,43
243, AGDE  - Rue du commandant Vilarem,Rue du commandant Vilarem,43.313663482666016,3.478549003601074,false,2,3.7
244, AGDE - Rue Victor De Moléon,Rue Victor De Moléon,43.30830001831055,3.4928629398345947,false,2,3.7
245, AGDE CLAPE  - Rue Du Gouverneur,AGDE CLAPE  - Rue Du Gouverneur,43.2856083,3.5180194,FALSE,2,22
